4	0.9	0
4	0.491	1
4	0.34	1
3	0.91	0
2	0.088	1
3	0.647	1
3	0.234	0
4	0.71	0
5	0.37	1
4	0.897	0
2	0.065	1
1	0.455	0
5	0.811	1
5	0.629	1
5	0.175	0
2	0.143	1
4	0.395	1
3	0.476	1
5	0.029	1
5	0.287	1
3	0.502	0
3	1.0	0
5	0.246	1
2	0.967	0
2	0.833	1
3	0.114	1
5	0.908	1
4	0.97	0
3	0.05	1
3	0.429	1
4	0.38	1
5	0.851	0
1	0.486	1
1	0.786	1
5	0.923	0
2	0.629	1
4	0.633	0
4	0.864	0
3	0.357	1
4	0.4	0
4	0.91	0
1	0.358	0
2	0.013	1
2	0.831	0
2	0.474	1
2	0.945	0
1	0.755	0
4	0.84	0
3	0.602	0
4	0.436	0
4	0.606	1
1	0.023	1
2	0.259	1
4	0.651	0
4	0.963	0
3	0.691	0
5	0.625	0
4	0.478	0
2	0.335	1
2	0.518	1
3	0.301	1
3	0.407	1
5	0.088	1
4	0.023	1
1	0.784	0
3	0.403	0
4	0.891	0
3	0.024	1
5	0.967	0
4	0.651	0
5	0.391	1
5	0.53	0
2	0.261	1
2	0.094	1
2	0.474	1
1	0.971	0
4	0.735	0
2	0.687	1
1	0.787	1
2	0.025	1
1	0.108	1
1	0.193	1
3	0.992	0
2	0.094	1
3	0.923	1
1	0.143	1
1	0.456	0
5	0.087	1
2	0.475	1
1	0.745	0
5	0.847	0
3	0.865	1
5	0.015	1
4	0.267	1
3	0.98	0
3	0.012	1
1	0.28	1
3	0.219	0
5	0.177	1
5	0.246	1
4	0.416	0
5	0.736	0
1	0.846	0
2	0.555	0
4	0.05	1
3	0.013	1
5	0.014	1
3	0.553	1
5	0.856	0
4	0.332	1
5	0.594	1
2	0.112	1
5	0.878	0
1	0.669	0
2	0.844	0
5	0.506	1
2	0.858	1
1	0.518	1
4	0.048	1
5	0.915	0
3	0.268	0
1	0.91	0
3	0.036	1
5	0.276	1
1	0.68	0
2	0.545	1
3	0.342	1
5	0.394	1
1	0.762	0
4	0.272	1
1	0.416	1
5	0.379	1
4	0.202	1
3	0.367	0
3	0.841	1
1	0.736	0
4	0.067	1
4	0.296	1
1	0.405	1
1	0.523	1
3	0.888	0
3	0.271	1
1	0.388	1
1	0.843	0
2	0.373	1
2	0.23	1
4	0.451	1
1	0.637	1
2	0.483	1
1	0.982	0
5	0.133	1
3	0.86	0
2	0.35	0
5	0.43	1
5	0.722	0
2	0.726	1
4	0.079	1
4	0.79	1
1	0.215	0
1	0.843	0
4	0.956	0
2	0.663	1
5	0.556	0
4	0.694	1
3	0.117	1
1	0.55	1
4	0.539	0
3	0.855	0
1	0.531	0
1	0.554	0
1	0.468	1
3	0.787	1
4	0.819	1
